,data_type,country,state,year,quarter,name,type,count,amount
261,aggregated,india,andhra-pradesh,2021,1,Merchant payments,TOTAL,97920281,70813192713.43477
262,aggregated,india,andhra-pradesh,2021,1,Recharge & bill payments,TOTAL,41940689,20546424964.14482
263,aggregated,india,andhra-pradesh,2021,1,Financial Services,TOTAL,225355,270313028.48452014
264,aggregated,india,andhra-pradesh,2021,1,Others,TOTAL,347907,272546457.5502677
265,aggregated,india,andhra-pradesh,2021,2,Peer-to-peer payments,TOTAL,189614879,737004484057.439
266,aggregated,india,andhra-pradesh,2021,2,Merchant payments,TOTAL,112875274,88512429436.91248
267,aggregated,india,andhra-pradesh,2021,2,Recharge & bill payments,TOTAL,49626902,24646800345.106976
268,aggregated,india,andhra-pradesh,2021,2,Financial Services,TOTAL,243237,265483044.40124667
269,aggregated,india,andhra-pradesh,2021,2,Others,TOTAL,406842,308302224.3856007
270,aggregated,india,andhra-pradesh,2021,3,Peer-to-peer payments,TOTAL,221280317,837841124664.307
271,aggregated,india,andhra-pradesh,2021,3,Merchant payments,TOTAL,158290953,118164377968.16754
272,aggregated,india,andhra-pradesh,2021,3,Recharge & bill payments,TOTAL,51702350,27511344958.24361
273,aggregated,india,andhra-pradesh,2021,3,Financial Services,TOTAL,211171,297239697.83073866
274,aggregated,india,andhra-pradesh,2021,3,Others,TOTAL,547759,403948275.56756073
275,aggregated,india,andhra-pradesh,2021,4,Peer-to-peer payments,TOTAL,262006450,971269765249.1282
276,aggregated,india,andhra-pradesh,2021,4,Merchant payments,TOTAL,207538904,152883933596.5386
277,aggregated,india,andhra-pradesh,2021,4,Recharge & bill payments,TOTAL,51762842,31232784713.985794
278,aggregated,india,andhra-pradesh,2021,4,Financial Services,TOTAL,243951,332740108.6635881
279,aggregated,india,andhra-pradesh,2021,4,Others,TOTAL,701856,545223415.6638832
280,aggregated,india,andhra-pradesh,2022,1,Peer-to-peer payments,TOTAL,288488560,1089629182596.4781
281,aggregated,india,andhra-pradesh,2022,1,Merchant payments,TOTAL,242031836,169419685917.19562
282,aggregated,india,andhra-pradesh,2022,1,Recharge & bill payments,TOTAL,51224170,34473036841.83001
283,aggregated,india,andhra-pradesh,2022,1,Financial Services,TOTAL,231651,324358965.11859065
284,aggregated,india,andhra-pradesh,2022,1,Others,TOTAL,627694,474382234.25397474
285,aggregated,india,andhra-pradesh,2022,2,Peer-to-peer payments,TOTAL,321362337,1231408926513.7114
286,aggregated,india,andhra-pradesh,2022,2,Merchant payments,TOTAL,292530048,205433660654.20898
287,aggregated,india,andhra-pradesh,2022,2,Recharge & bill payments,TOTAL,56606969,42408541939.06145
288,aggregated,india,andhra-pradesh,2022,2,Financial Services,TOTAL,192751,245783011.04455262
